"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000240291.1",-1.8228095818287,1.39525106703549,-5.42470089731559,3.88719529181953e-05,0.00025786639514985,2.2348632391999
"ENSG00000237310.2",-1.86007158134213,0.401386946001498,-5.42399711243469,3.89295511782272e-05,0.00025815869265339,2.29686542838044
"ENSG00000179399.15",-4.01162032468443,-1.98281581981542,-5.41882272067959,3.93557254693876e-05,0.000260894124488064,2.35279637930913
"ENSG00000124343.14",-3.90014479846636,-1.2374246334263,-5.41713546335897,3.94957245089143e-05,0.000261731222318976,2.3564241500705
"ENSG00000169093.16",-1.38401385320357,4.66430258976832,-5.41681128272667,3.95226816571759e-05,0.000261818890088801,1.82920387972243
"ENSG00000149328.15",3.15073249042697,1.23529300165823,5.41648629854174,3.95497245771382e-05,0.000261907064977493,2.26323987968184
"ENSG00000187123.15",4.73783694711118,1.54655071557576,5.41615808903574,3.9577055159091e-05,0.000261979097581823,2.28073513840144
"ENSG00000154856.13",3.62986933155183,4.14524451385313,5.4160258234637,3.95880746240989e-05,0.000261979097581823,2.06641254379791
"ENSG00000080819.9",-1.49997629856225,4.08826974784021,-5.41485652757782,3.96856294426337e-05,0.000262533584713809,1.87683648694369
"ENSG00000166348.18",1.71319547980503,2.56804474078051,5.41429739226286,3.97323654789425e-05,0.000262751620809428,2.12030178537263
"ENSG00000203668.3",2.20344213080968,3.28239078972059,5.41165741063397,3.99537958049658e-05,0.00026412436519664,2.06757295323765
"ENSG00000204366.4",2.41310942205172,0.93174946328874,5.41139639557045,3.99757573094094e-05,0.00026417797761783,2.26286889484589
"ENSG00000116288.13",-1.07672974800241,6.93636498340805,-5.41119816148874,3.99924447713363e-05,0.000264196711700355,1.82180257526363
"ENSG00000157827.20",2.31096339840424,4.01843841838426,5.4094091653429,4.01433672582141e-05,0.00026510190455286,2.00112723569532
"ENSG00000179774.9",-3.01296996349192,-1.97825202212701,-5.40735200707032,4.03176349539054e-05,0.000266160586306986,2.33415458919584
"ENSG00000173011.12",-0.733198960962,4.65117432340248,-5.40556263161296,4.04698492519369e-05,0.000267072998246692,1.80931942860362
"ENSG00000097046.13",2.32328554672886,1.10029365144729,5.40440823848115,4.0568361205874e-05,0.000267630503257844,2.23407948601417
"ENSG00000198840.2",-2.25928590419083,10.9959314157325,-5.40361645406911,4.06360716083691e-05,0.000267984494368885,2.01953981259212
"ENSG00000132561.14",-2.02538022161125,4.39925063986245,-5.40133814084137,4.08315519556857e-05,0.000269180559591717,1.82369042141228
"ENSG00000213949.10",-2.10567729284593,6.04207086872309,-5.40091783904109,4.08677193364078e-05,0.000269325896055276,1.77475884175628
"ENSG00000261659.2",3.56177700067015,-1.94937559741456,5.40013718006471,4.09349830571924e-05,0.000269675992009248,2.30024096366377
"ENSG00000105676.14",-1.49087714468289,5.35954993144095,-5.39858278276781,4.1069252672952e-05,0.000270467122575463,1.7635063523779
"ENSG00000100568.11",-1.0510451017657,4.42490045732559,-5.39664360848264,4.12373932727923e-05,0.000271480691922228,1.80455411920533
"ENSG00000079691.18",1.67267421392218,3.66071771581554,5.39479825814042,4.13980545400693e-05,0.000272444339609455,1.97615167059066
"ENSG00000177692.12",-2.06994490028061,0.167571183281024,-5.39419923438139,4.14503451529308e-05,0.000272694371423489,2.24901642856126
